Group;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25
Moderate;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Average;Average;Active;Active;Average;Disengaged;Average;Disengaged;Average;Average;Active;Average;Average
Moderate;Disengaged;Average;Active;Active;Active;Disengaged;Active;Active;Average;Average;Average;Average;Active;Active;Active;Average;Average;Average;Average;Active;Active;Average;Average;Active;Active
Moderate;Average;Active;Active;Active;Active;Average;Active;Active;Active;Active;Active;Average;Active;Active;Active;Average;Average;Average;Average;Average;Average;Disengaged;Disengaged;Average;
Moderate;Disengaged;Disengaged;Disengaged;Average;Active;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Average;Average;Average;Average;Active
Moderate;Active;Active;Active;Active;Average;Disengaged;Average;Average;Average;Average;Disengaged;Average;Disengaged;Average;Average;Active;Active;Average;Average;Active;Active;Active;Active;Active;Active
Moderate;Average;Average;Average;Average;Average;Active;Active;Active;Active;Average;Average;Average;Average;Average;Disengaged;Disengaged;Disengaged;Active;Active;Active;Active;Active;Active;Active;Active
Moderate;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Active;Average;Average;Average;Average;Active;Active;Active;Average;Average;Active;Active;Active;Active;Active;Average;Average;Average
Moderate;Active;Active;Active;Active;Average;Disengaged;Disengaged;Disengaged;Average;Average;Average;Average;Average;Average;Average;Active;Active;Average;Active;Active;Active;Active;Active;Active;
Moderate;Disengaged;Disengaged;Average;Average;Average;Active;Average;Disengaged;Disengaged;Average;Average;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active
Moderate;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Average;Disengaged;Average;Average;Average;Average;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active
Moderate;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Active;Active;Average;Average;Active;Active;Active;Average;Average;Average;Disengaged;Average;Average;Active;Active;Active;Active;Average
Moderate;Average;Average;Disengaged;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Disengaged;Active;Disengaged;Disengaged;Average;Average;Average;Average;Average;Active;Active;
Moderate;Average;Average;Average;Active;Active;Active;Active;Active;Active;Average;Disengaged;Average;Average;Average;Active;Active;Active;Active;Active;Active;Average;Disengaged;Disengaged;;
Moderate;Average;Average;Active;Active;Active;Disengaged;Average;Average;Active;Active;Disengaged;Average;Average;Active;Average;Disengaged;Disengaged;Disengaged;Active;Active;Average;Active;Active;Active;Active
Moderate;Average;Active;Active;Active;Active;Average;Active;Average;Average;Average;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged
Moderate;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Average;Active
Moderate;Disengaged;Disengaged;Average;Average;Disengaged;Disengaged;Average;Active;Disengaged;Average;Active;Active;Active;Active;Active;Active;Active;Average;Disengaged;Average;Active;Active;Active;Active;Average
Moderate;Average;Active;Active;Active;Average;Average;Average;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged
Moderate;Average;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Active;Average;Average;Average;Active;Active;Active;Active;Active
Moderate;Average;Active;Average;Active;Active;Average;Average;Average;Average;Average;Average;Active;Active;Active;Active;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active
Moderate;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Average;Active;Active;Active;Average;Average;Average;Average;Average;Active
Moderate;Active;Active;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Average;Average;Average;Average;Active;Average;Average;Active;Active;Active
Moderate;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Average;Average;Average;Average;Average;Active;Active;Active;Active;Average
Moderate;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Average;Average;Average;Average;Active;Active;Active;Active;Active;
Moderate;Active;Active;Average;Average;Average;Average;Active;Active;Average;Average;Average;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active
Moderate;Average;Active;Active;Average;Average;Active;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Average;Average;
Moderate;Average;Average;Average;Average;Active;Active;Active;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Average;Average;Active;Active;
Moderate;Average;Average;Average;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Average;
Moderate;Active;Active;Active;Active;Active;Active;Average;Average;Active;Average;Average;Average;Average;Average;Active;Active;Active;Disengaged;Average;Average;Active;Active;Active;Active;Active
Moderate;Active;Active;Active;Average;Average;Average;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Disengaged;Average;Active;Active;Active
Moderate;Average;Average;Average;Active;Active;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Disengaged;Average;Average;Average;Active;Average;Average;Active;Active;Active
Moderate;Active;Active;Active;Active;Active;Average;Average;Average;Active;Active;Active;Average;Average;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Disengaged;Average
Moderate;Average;Active;Active;Active;Active;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Active;Disengaged;Disengaged;Average;Average;Average;Active;Active
Moderate;Average;Average;Average;Average;Active;Active;Average;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Active;Active;Active;
Moderate;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Average;Average;Average;Active;Active;Disengaged;Average;Average;Average;Active;Active;Active;Average;Average
Moderate;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Average;Active;Active;Average;Average;Average;Disengaged;Disengaged
Moderate;Active;Active;Active;Active;Active;Active;Active;Average;Active;Active;Active;Active;Disengaged;Disengaged;Average;Average;Average;Average;Average;Average;Average;Active;Active;Active;Average
Moderate;Average;Active;Active;Active;Active;Active;Active;Active;Average;Average;Disengaged;Disengaged;Average;Average;Active;Average;Average;Average;Average;Active;Active;Active;Active;Active;Active
Moderate;Disengaged;Disengaged;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Average;Average;Average;Average;Active;Active;Active;
Moderate;Average;Average;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Active;Active;Active;Disengaged;Disengaged;Average;Average;Active;
Moderate;Average;Average;Average;Average;Active;Active;Active;Average;Average;Active;Active;Active;Average;Active;Active;Active;Active;Active;Average;Active;Active;Active;Disengaged;;
Moderate;Average;Disengaged;Disengaged;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Average;Disengaged;Average;Average
Moderate;Disengaged;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Average;Average;Average;Average;Average;Active;Active;Active;Active;Active;Average
Moderate;Average;Active;Active;Active;Disengaged;Average;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Average;Average;Average;Average
Moderate;Average;Average;Average;Disengaged;Average;Average;Active;Active;Active;Disengaged;Average;Active;Active;Active;Active;Active;Active;Active;Average;Active;Active;Average;Average;Average;Active
Moderate;Average;Average;Average;Disengaged;Average;Average;Disengaged;Average;Active;Active;Active;Active;Average;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active
Moderate;Disengaged;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Active;Active;Average;Average;Average;Average;Average;Average;Average;Average;;
Moderate;Disengaged;Average;Average;Active;Active;Active;Active;Active;Active;Active;Average;Active;Active;Active;Average;Average;Average;Average;Average;Average;Active;Active;Active;;
Moderate;Average;Average;Active;Active;Active;Active;Active;Active;Active;Average;Average;Active;Active;Average;Average;Average;Average;Average;Disengaged;Disengaged;Active;Active;Active;Active;Disengaged
Moderate;Active;Active;Disengaged;Disengaged;Average;Active;Active;Active;Active;Active;Average;Active;Average;Average;Average;Average;Active;Active;Active;Average;Active;Disengaged;Average;Active;Average
Moderate;Active;Average;Average;Average;Average;Average;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Active;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;
Moderate;Average;Average;Average;Average;Active;Active;Active;Average;Disengaged;Average;Disengaged;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;;
Moderate;Average;Average;Average;Average;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Active
Moderate;Active;Active;Active;Disengaged;Disengaged;Average;Average;Average;Active;Active;Active;Active;Active;Average;Disengaged;Average;Average;Disengaged;Active;Active;Active;Average;Active;Active;
Moderate;Active;Active;Active;Active;Average;Average;Average;Average;Disengaged;Disengaged;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Disengaged;Disengaged;
Moderate;Active;Active;Active;Active;Average;Average;Average;Average;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Average;Average;Active;Active;Active;
Moderate;Average;Average;Average;Average;Average;Average;Average;Average;Disengaged;Disengaged;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Active;Average
Moderate;Average;Active;Disengaged;Disengaged;Active;Active;Average;Average;Average;Average;Average;Average;Average;Active;Active;Active;Average;Average;Average;Average;Active;Active;Active;Active;Active
Moderate;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Average;Average;Average;Average;Average;Active;Active;Active;Active;Average;Average;;
Moderate;Average;Average;Average;Average;Average;Average;Disengaged;Average;Disengaged;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;;
Moderate;Average;Active;Active;Active;Active;Average;Average;Average;Average;Average;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active;Average;Average
Moderate;Average;Average;Average;Average;Active;Disengaged;Average;Average;Disengaged;Average;Active;Active;Active;Active;Active;Average;Disengaged;Disengaged;Average;Average;Active;Active;Active;Active;Active
Moderate;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Average;Disengaged;Disengaged;Average;Average;Average;Average;Average;Average;Active;Active;Active;Active
Moderate;Disengaged;Disengaged;Average;Active;Active;Active;Active;Active;Average;Average;Disengaged;Average;Average;Average;Average;Average;Average;Active;Active;Active;Active;Active;Active;;
Moderate;Disengaged;Disengaged;Average;Active;Average;Average;Average;Average;Average;Active;Active;Active;Active;Average;Average;Disengaged;Disengaged;Average;Active;Active;Active;Active;Active;Active;Disengaged
Moderate;Average;Active;Active;Average;Average;Active;Active;Active;Average;Active;Active;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Active;Active;Average;Active;Active
Moderate;Active;Active;Active;Disengaged;Average;Average;Average;Average;Active;Average;Average;Average;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Average;Average;Active
Moderate;Active;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Average;Average;Average;Average;Average;Average;Disengaged;Disengaged;Average;Average;Active;Active;Active;;
Moderate;Active;Active;Average;Active;Active;Active;Active;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Active;Average;Average;Average;Average;Average;Active;Active;Average;
Moderate;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active;Average;Active;Active;Active;Active;Average;Active;Active;Active;Active;Active;Average;Average;Average
Moderate;Average;Active;Average;Disengaged;Average;Average;Disengaged;Disengaged;Average;Active;Active;Active;Active;Active;Active;Disengaged;Average;Active;Active;Average;Active;Average;Active;Disengaged;Disengaged
Moderate;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Active;Active;Active;Average;Average;Average;Average;Average;Average;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged
Moderate;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Average;Active;Active;Average;Average;Active;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active
Moderate;Average;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Average;Active;Active;Average;Disengaged;Average;Active;;
Moderate;Average;Disengaged;Average;Average;Active;Active;Active;Active;Active;Active;Average;Active;Active;Active;Active;Active;Disengaged;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;
Moderate;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Average;Average;Average;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Average;Disengaged;Disengaged
Moderate;Average;Disengaged;Average;Active;Active;Active;Active;Active;Active;Active;Average;Disengaged;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Active
Moderate;Average;Average;Active;Active;Active;Active;Active;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Active;Active;Active;Active;Average;Average
Moderate;Average;Average;Average;Average;Average;Average;Average;Average;Average;Active;Average;Average;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;
Moderate;Average;Average;Average;Average;Average;Active;Active;Active;Average;Average;Average;Average;Average;Average;Average;Average;Active;Active;Average;Active;Active;Active;Active;Active;
Moderate;Average;Average;Active;Active;Average;Average;Average;Average;Average;Active;Average;Average;Active;Active;Active;Active;Active;Active;Active;Average;Average;Average;Disengaged;Disengaged;
Moderate;Active;Active;Average;Average;Average;Average;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average
Moderate;Active;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Average;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Average
Moderate;Average;Active;Active;Active;Average;Average;Active;Active;Average;Disengaged;Disengaged;Average;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active;Average;Average;Average;Active;Active;Active
Moderate;Average;Average;Average;Disengaged;Disengaged;Average;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active;Active;Active;Active;Active;Average;Active;Active;Active;Active;Average;Average;Average
Moderate;Active;Active;Active;Active;Active;Active;Active;Average;Average;Active;Active;Active;Average;Average;Disengaged;Disengaged;Disengaged;Average;Disengaged;Disengaged;Average;Average;Average;Average;Average
Moderate;Active;Active;Average;Disengaged;Average;Average;Average;Average;Average;Average;Active;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active;Active;Active;Active;Active;Active;
Moderate;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Average;Average;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Active;;
Moderate;Active;Active;Active;Active;Active;Active;Average;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Average;Average;Disengaged;Average;Average;Average;Average;Active;Active;Average;
Moderate;Average;Average;Disengaged;Average;Active;Active;Active;Disengaged;Average;Active;Active;Average;Active;Disengaged;Average;Average;Average;Active;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active
Moderate;Average;Average;Average;Average;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active
Moderate;Disengaged;Disengaged;Average;Average;Active;Average;Disengaged;Disengaged;Disengaged;Average;Average;Disengaged;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;
Moderate;Active;Average;Active;Active;Active;Active;Active;Active;Average;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Active;Active;Active;Disengaged;
Moderate;Active;Average;Disengaged;Disengaged;Disengaged;Average;Average;Average;Average;Active;Active;Disengaged;Average;Average;Average;Active;Active;Active;Active;Disengaged;Disengaged;Active;Active;Active;
Moderate;Average;Average;Active;Active;Average;Average;Average;Average;Disengaged;Disengaged;Disengaged;Active;Active;Active;Active;Active;Active;Active;Average;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active
Moderate;Average;Average;Average;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Active;Active;Average;Average;Average;Average;Active;Active;Disengaged;Disengaged
Moderate;Average;Average;Average;Active;Active;Active;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Active;Active;Active;Active
Moderate;Active;Average;Average;Active;Active;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Disengaged;Average;Average;Active;Active;Active;Active;Active;Active;
Moderate;Active;Disengaged;Disengaged;Average;Active;Average;Average;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Average;Active;Active;Active;Active;Active
Moderate;Disengaged;Disengaged;Disengaged;Active;Disengaged;Disengaged;Average;Average;Average;Active;Disengaged;Disengaged;Disengaged;Active;Active;Average;Average;Average;Active;Active;Active;Active;Active;Active;Average
Moderate;Disengaged;Active;Active;Active;Active;Average;Average;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Disengaged;Disengaged;Disengaged;Active;Active;Active;Active;Active;Active
Moderate;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Active;Average;Average;Active;Active;Active;Active;Active;Active;Average;Disengaged;Disengaged;Average;Average;Average
Moderate;Average;Average;Average;Disengaged;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;;
Moderate;Disengaged;Disengaged;Active;Active;Active;Active;Active;Active;Average;Active;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Active;Active;Active;Average;
Moderate;Average;Average;Active;Active;Active;Active;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active;Active;Average;Average;Active;Average;Average;Average;Active
Moderate;Average;Active;Active;Active;Active;Active;Average;Active;Disengaged;Average;Average;Average;Average;Average;Average;Average;Average;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Average
Moderate;Average;Average;Average;Average;Average;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active;Active;Active;Active;Active;Average;Average;Average;Average;Disengaged;Disengaged;Active;Active;Active
Moderate;Average;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Average;Disengaged;Average;Average;Average;Average;Average;Average;Disengaged;Active;Average;Average;Average;Active;Active;Active;Active
Moderate;Active;Active;Active;Active;Average;Average;Active;Active;Average;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Disengaged;Average;Average;Average;Average;Average;Active;Active;Active;
Moderate;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Average;Average;Average;Average;Average;Average;;
Moderate;Active;Active;Disengaged;Average;Active;Active;Average;Average;Average;Average;Average;Active;Active;Disengaged;Average;Average;Average;Active;Active;Active;Average;Disengaged;Disengaged;Disengaged;Disengaged
Moderate;Average;Average;Average;Active;Active;Active;Active;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Active;Active;Average;Average;Average;Average;
Moderate;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Average;Average;Active;Active;Active;Active;Disengaged;Disengaged;Average;Average;Active;Active;Active;Active;Active;Average
Moderate;Active;Average;Average;Average;Average;Active;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Average;Average;Active;Disengaged;Disengaged;Average;Active;Active;Active;Active;Active;Average;Disengaged
Moderate;Average;Active;Active;Disengaged;Active;Active;Active;Average;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Average;Disengaged;Active;Active;Active;Active;Average;Disengaged;Average;Average
Moderate;Active;Active;Active;Active;Active;Active;Active;Active;Active;Average;Average;Average;Average;Average;Average;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged
Moderate;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Average;Disengaged;Disengaged;Average;Average;Active;Active;Average;Average;Average;Average;Average;Active;Active;Active;Active
Moderate;Average;Average;Active;Average;Active;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;
Moderate;Average;Disengaged;Average;Active;Active;Active;Average;Active;Active;Active;Active;Active;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Average;Active;;
Moderate;Active;Active;Average;Disengaged;Disengaged;Disengaged;Active;Average;Disengaged;Average;Active;Active;Active;Active;Average;Active;Active;Disengaged;Disengaged;Average;Average;Average;Average;;
Moderate;Average;Active;Active;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;
Moderate;Disengaged;Average;Active;Average;Active;Average;Active;Active;Active;Average;Active;Active;Average;Average;Average;Active;Active;Disengaged;Disengaged;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged
Moderate;Average;Disengaged;Disengaged;Disengaged;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Active;Active;Active;Active;Active;Active;Average;Average;Average;Average;Active;Active
Moderate;Active;Active;Active;Active;Active;Active;Active;Average;Average;Average;Average;Average;Disengaged;Disengaged;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Active;Active
Moderate;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Disengaged;Disengaged;Average;Average;Average;Active;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active
Moderate;Disengaged;Active;Active;Average;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Disengaged;Disengaged;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;;
Moderate;Disengaged;Disengaged;Average;Average;Active;Active;Active;Active;Active;Average;Disengaged;Disengaged;Disengaged;Average;Average;Average;Average;Disengaged;Active;Active;Active;Active;Disengaged;Disengaged;
Moderate;Disengaged;Disengaged;Disengaged;Average;Average;Disengaged;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Active;Active;Active;Active;Active;Active;Active;Active;Active
Moderate;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Average;Average;Average;Average;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Active;Active;Active;Active
Moderate;Disengaged;Disengaged;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Average;Disengaged;Disengaged;Average;Average;Average;Active;Active;Active;Active;Active;Active;Disengaged;Active;Active;Active
Moderate;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Active;Average;Average;Average;Active;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Average;Disengaged
Moderate;Active;Active;Active;Active;Average;Average;Average;Average;Average;Active;Active;Active;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;;
Moderate;Average;Average;Active;Active;Active;Average;Active;Active;Average;Average;Average;Average;Average;Average;Average;Active;Active;Active;Average;Average;Disengaged;Disengaged;Disengaged;Average;
Moderate;Active;Active;Active;Average;Average;Disengaged;Disengaged;Disengaged;Average;Active;Active;Average;Average;Average;Average;Average;Average;Average;Disengaged;Disengaged;Average;Average;Active;Active;Active
Moderate;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Average;Average;Average;Average;Average;Average;Average;Active;Average;Average;Average;Active;Active;Active;Active;Active;Active
Moderate;Average;Average;Active;Average;Average;Average;Active;Active;Active;Average;Average;Average;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Disengaged;Average;Average;Average;Active;Active;Active;Active
Moderate;Average;Average;Disengaged;Average;Active;Active;Active;Active;Average;Average;Active;Active;Active;Disengaged;Average;Disengaged;Average;Disengaged;Disengaged;Disengaged;Average;Average;Active;Average;
Moderate;Disengaged;Average;Disengaged;Disengaged;Disengaged;Disengaged;Active;Active;Average;Average;Active;Average;Average;Active;Average;Active;Average;Average;Average;Average;Disengaged;Disengaged;Active;Active;Active
Moderate;Average;Average;Average;Disengaged;Disengaged;Disengaged;Average;Active;Active;Disengaged;Disengaged;Disengaged;Disengaged;Average;Active;Active;Active;Average;Average;Average;Average;Average;Active;Active;Active
